tipo_metrica,detector,umbral,escenario,delta_sigma,arl0,arl0_ic_low,arl0_ic_high,arl0_censurados,arl0_n_streams,arl1,arl1_ic_low,arl1_ic_high,arl1_censurados,arl1_n_streams,arl1_excluidos_pre_tau
auc,CUSUM,3.96875,salto,0.5,55.825,51.07273113430445,60.57726886569556,47,200,22.06,19.08062547029031,25.039374529709686,2,100,100
auc,CUSUM,3.96875,salto,1.0,55.825,51.07273113430445,60.57726886569556,47,200,10.102803738317757,8.37304022884876,11.832567247786754,0,107,93
auc,CUSUM,3.96875,salto,1.5,55.825,51.07273113430445,60.57726886569556,47,200,5.627118644067797,4.909720499266635,6.344516788868958,0,118,82
auc,CUSUM,3.96875,salto,2.0,55.825,51.07273113430445,60.57726886569556,47,200,3.9145299145299144,3.3695858013931415,4.459474027666688,0,117,83
auc,CUSUM,3.96875,salto,3.0,55.825,51.07273113430445,60.57726886569556,47,200,2.3448275862068964,2.138236126995792,2.5514190454180006,0,116,84
auc,CUSUM,5.15625,cambio_varianza,0.5,67.835,63.09401013429329,72.5759898657067,79,200,27.85496183206107,24.433592373385167,31.27633129073697,18,131,69
auc,CUSUM,5.15625,cambio_varianza,1.0,67.835,63.09401013429329,72.5759898657067,79,200,25.50735294117647,22.176244999775804,28.838460882577138,20,136,64
auc,CUSUM,5.15625,cambio_varianza,1.5,67.835,63.09401013429329,72.5759898657067,79,200,28.08053691275168,25.123107685474555,31.037966140028804,17,149,51
auc,CUSUM,5.15625,cambio_varianza,2.0,67.835,63.09401013429329,72.5759898657067,79,200,26.76086956521739,23.504406291955828,30.017332838478954,15,138,62
auc,CUSUM,5.15625,cambio_varianza,3.0,67.835,63.09401013429329,72.5759898657067,79,200,24.76551724137931,21.802141871773493,27.728892610985127,14,145,55
auc,CUSUM,5.15625,deriva,0.5,67.835,63.09401013429329,72.5759898657067,79,200,33.23741007194245,30.029269707969068,36.44555043591583,27,139,61
auc,CUSUM,5.15625,deriva,1.0,67.835,63.09401013429329,72.5759898657067,79,200,22.846153846153847,20.976931135536926,24.715376556770767,1,143,57
auc,CUSUM,5.15625,deriva,1.5,67.835,63.09401013429329,72.5759898657067,79,200,17.065217391304348,15.819879572447338,18.310555210161358,0,138,62
auc,CUSUM,5.15625,deriva,2.0,67.835,63.09401013429329,72.5759898657067,79,200,14.926666666666666,14.10664096975569,15.746692363577642,0,150,50
auc,CUSUM,5.15625,deriva,3.0,67.835,63.09401013429329,72.5759898657067,79,200,11.370860927152318,10.67399340948616,12.067728444818476,0,151,49
auc,CUSUM,5.15625,salto,0.5,67.835,63.09401013429329,72.5759898657067,79,200,27.93076923076923,24.811425217772467,31.050113243765992,14,130,70
auc,CUSUM,5.15625,salto,1.0,67.835,63.09401013429329,72.5759898657067,79,200,12.398601398601398,10.790076203544327,14.00712659365847,0,143,57
auc,CUSUM,5.15625,salto,1.5,67.835,63.09401013429329,72.5759898657067,79,200,7.401408450704225,6.460909220077284,8.341907681331165,0,142,58
auc,CUSUM,5.15625,salto,2.0,67.835,63.09401013429329,72.5759898657067,79,200,4.668918918918919,4.118655839088379,5.21918199874946,0,148,52
auc,CUSUM,5.15625,salto,3.0,67.835,63.09401013429329,72.5759898657067,79,200,2.78,2.565476962746878,2.9945230372531215,0,150,50
auc,CUSUM,8.125,cambio_varianza,0.5,88.78,85.46539281410543,92.09460718589457,150,200,41.68539325842696,38.49999416517709,44.87079235167683,87,178,22
auc,CUSUM,8.125,cambio_varianza,1.0,88.78,85.46539281410543,92.09460718589457,150,200,40.22346368715084,37.09584979358088,43.3510775807208,81,179,21
auc,CUSUM,8.125,cambio_varianza,1.5,88.78,85.46539281410543,92.09460718589457,150,200,41.98918918918919,39.203441408544435,44.774936969833945,74,185,15
auc,CUSUM,8.125,cambio_varianza,2.0,88.78,85.46539281410543,92.09460718589457,150,200,38.2032967032967,35.12600684627942,41.280586560313985,69,182,18
auc,CUSUM,8.125,cambio_varianza,3.0,88.78,85.46539281410543,92.09460718589457,150,200,41.889502762430936,38.92122755199823,44.857777972863644,85,181,19
auc,CUSUM,8.125,deriva,0.5,88.78,85.46539281410543,92.09460718589457,150,200,43.032786885245905,40.40143885770094,45.66413491279087,77,183,17
auc,CUSUM,8.125,deriva,1.0,88.78,85.46539281410543,92.09460718589457,150,200,30.415730337078653,28.369856471351206,32.4616042028061,11,178,22
auc,CUSUM,8.125,deriva,1.5,88.78,85.46539281410543,92.09460718589457,150,200,21.224719101123597,19.97958017296194,22.469858029285255,0,178,22
auc,CUSUM,8.125,deriva,2.0,88.78,85.46539281410543,92.09460718589457,150,200,17.86263736263736,17.12217607927545,18.60309864599927,0,182,18
auc,CUSUM,8.125,deriva,3.0,88.78,85.46539281410543,92.09460718589457,150,200,13.686813186813186,13.097587965772705,14.276038407853667,0,182,18
auc,CUSUM,8.125,salto,0.5,88.78,85.46539281410543,92.09460718589457,150,200,38.71270718232044,35.86507827479968,41.56033608984121,53,181,19
auc,CUSUM,8.125,salto,1.0,88.78,85.46539281410543,92.09460718589457,150,200,18.016574585635357,16.118589073322816,19.9145600979479,4,181,19
auc,CUSUM,8.125,salto,1.5,88.78,85.46539281410543,92.09460718589457,150,200,10.430939226519337,9.315263003471923,11.546615449566751,1,181,19
auc,CUSUM,8.125,salto,2.0,88.78,85.46539281410543,92.09460718589457,150,200,6.824175824175824,6.268437026567259,7.379914621784389,0,182,18
auc,CUSUM,8.125,salto,3.0,88.78,85.46539281410543,92.09460718589457,150,200,4.117647058823529,3.8865803365943576,4.3487137810527,0,187,13
auc,Page-Hinkley,2.484375,cambio_varianza,0.5,20.265,17.808047334562385,22.721952665437616,0,200,8.434782608695652,4.689445430857015,12.18011978653429,0,23,177
auc,Page-Hinkley,2.484375,cambio_varianza,1.0,20.265,17.808047334562385,22.721952665437616,0,200,7.571428571428571,5.566752556226632,9.57610458663051,0,28,172
auc,Page-Hinkley,2.484375,cambio_varianza,1.5,20.265,17.808047334562385,22.721952665437616,0,200,7.730769230769231,5.250214435028052,10.21132402651041,0,26,174
auc,Page-Hinkley,2.484375,cambio_varianza,2.0,20.265,17.808047334562385,22.721952665437616,0,200,8.44,5.480291834206172,11.399708165793827,0,25,175
auc,Page-Hinkley,2.484375,cambio_varianza,3.0,20.265,17.808047334562385,22.721952665437616,0,200,5.190476190476191,3.4237868824451745,6.957165498507207,0,21,179
auc,Page-Hinkley,2.484375,deriva,0.5,20.265,17.808047334562385,22.721952665437616,0,200,12.9,8.095000936524546,17.704999063475455,0,10,190
auc,Page-Hinkley,2.484375,deriva,1.0,20.265,17.808047334562385,22.721952665437616,0,200,9.8,7.292527434513657,12.307472565486345,0,25,175
auc,Page-Hinkley,2.484375,deriva,1.5,20.265,17.808047334562385,22.721952665437616,0,200,7.68,5.714389363751475,9.645610636248525,0,25,175
auc,Page-Hinkley,2.484375,deriva,2.0,20.265,17.808047334562385,22.721952665437616,0,200,7.666666666666667,6.281268484696818,9.052064848636515,0,30,170
auc,Page-Hinkley,2.484375,deriva,3.0,20.265,17.808047334562385,22.721952665437616,0,200,6.3076923076923075,5.083579848148877,7.531804767235738,0,26,174
auc,Page-Hinkley,2.484375,salto,0.5,20.265,17.808047334562385,22.721952665437616,0,200,9.681818181818182,6.0039299687278245,13.359706394908539,0,22,178
auc,Page-Hinkley,2.484375,salto,1.0,20.265,17.808047334562385,22.721952665437616,0,200,6.176470588235294,2.9035083732227753,9.449432803247813,0,17,183
auc,Page-Hinkley,2.484375,salto,1.5,20.265,17.808047334562385,22.721952665437616,0,200,2.4,1.9839557936838976,2.816044206316102,0,30,170
auc,Page-Hinkley,2.484375,salto,2.0,20.265,17.808047334562385,22.721952665437616,0,200,1.631578947368421,1.1766953886239828,2.086462506112859,0,19,181
auc,Page-Hinkley,2.484375,salto,3.0,20.265,17.808047334562385,22.721952665437616,0,200,1.8095238095238095,1.2923863895751937,2.3266612294724256,0,21,179
auc,Page-Hinkley,3.375,cambio_varianza,0.5,28.33,24.902551622459715,31.757448377540282,7,200,11.22,8.58009442593111,13.859905574068891,0,50,150
auc,Page-Hinkley,3.375,cambio_varianza,1.0,28.33,24.902551622459715,31.757448377540282,7,200,10.318181818181818,7.491363013400658,13.145000622962979,0,44,156
auc,Page-Hinkley,3.375,cambio_varianza,1.5,28.33,24.902551622459715,31.757448377540282,7,200,10.727272727272727,8.488386304089564,12.966159150455889,0,44,156
auc,Page-Hinkley,3.375,cambio_varianza,2.0,28.33,24.902551622459715,31.757448377540282,7,200,12.243243243243244,8.661240388336415,15.825246098150073,0,37,163
auc,Page-Hinkley,3.375,cambio_varianza,3.0,28.33,24.902551622459715,31.757448377540282,7,200,11.877551020408163,8.402545025209497,15.352557015606829,0,49,151
auc,Page-Hinkley,3.375,deriva,0.5,28.33,24.902551622459715,31.757448377540282,7,200,18.692307692307693,15.06696448357754,22.317650901037847,1,39,161
auc,Page-Hinkley,3.375,deriva,1.0,28.33,24.902551622459715,31.757448377540282,7,200,11.27450980392157,9.31675668965005,13.232262918193088,0,51,149
auc,Page-Hinkley,3.375,deriva,1.5,28.33,24.902551622459715,31.757448377540282,7,200,9.6,7.845373952759003,11.354626047240997,0,45,155
auc,Page-Hinkley,3.375,deriva,2.0,28.33,24.902551622459715,31.757448377540282,7,200,10.07843137254902,8.937750944005813,11.219111801092225,0,51,149
auc,Page-Hinkley,3.375,deriva,3.0,28.33,24.902551622459715,31.757448377540282,7,200,7.480769230769231,6.579315795041034,8.382222666497427,0,52,148
auc,Page-Hinkley,3.375,salto,0.5,28.33,24.902551622459715,31.757448377540282,7,200,11.477272727272727,8.442801228231554,14.5117442263139,0,44,156
