factor,ventana,muestra_descubrimiento,inicio,fin,T_meses,sharpe_anual,asimetria,curtosis,psr_vs_0,n_pruebas,sr0_anual,dsr,config_hash,commit,hash_datos,generado_en
hml,1963-1990 (descubrimiento),True,1963-07-31,1990-12-31,330,0.6281776987978767,0.13334274611907887,3.7943701193438653,0.9995011682737347,1,0.0,0.9995011682737347,16813d38e5d0,f112398,bdce90482268,2026-09-21T16:30:58+00:00
hml,1963-1990 (descubrimiento),True,1963-07-31,1990-12-31,330,0.6281776987978767,0.13334274611907887,3.7943701193438653,0.9995011682737347,10,0.3007200968981838,0.9568855425834885,16813d38e5d0,f112398,bdce90482268,2026-09-21T16:30:58+00:00
hml,1963-1990 (descubrimiento),True,1963-07-31,1990-12-31,330,0.6281776987978767,0.13334274611907887,3.7943701193438653,0.9995011682737347,100,0.4832998654984157,0.7760893631826711,16813d38e5d0,f112398,bdce90482268,2026-09-21T16:30:58+00:00
hml,1963-1990 (descubrimiento),True,1963-07-31,1990-12-31,330,0.6281776987978767,0.13334274611907887,3.7943701193438653,0.9995011682737347,316,0.55610217959828,0.6471443704630313,16813d38e5d0,f112398,bdce90482268,2026-09-21T16:30:58+00:00
hml,1991-2026 (fuera de muestra),False,1991-01-31,2026-07-31,427,0.22991082501118051,0.2931718064989078,5.667239198514762,0.9161705206154056,1,0.0,0.9161705206154056,16813d38e5d0,f112398,bdce90482268,2026-09-21T16:30:58+00:00
