mes_objetivo,fecha_prediccion,probabilidad_sube,posicion,objetivo,fin_entrenamiento,n_entrenamiento,acierto,config_hash,commit,hash_datos,generado_en
1977-03-31,1977-02-28,0.6312429067325379,1,1.0,1976-11-30,150,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1977-04-30,1977-03-31,0.6799148994589888,1,1.0,1976-11-30,150,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1977-05-31,1977-04-30,0.7507125605611017,1,1.0,1976-11-30,150,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1977-06-30,1977-05-31,0.6785244797696997,1,0.0,1976-11-30,150,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1977-07-31,1977-06-30,0.6437083709966877,1,0.0,1976-11-30,150,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1977-08-31,1977-07-31,0.6775771771995178,1,0.0,1976-11-30,150,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1977-09-30,1977-08-31,0.6330860591843804,1,0.0,1976-11-30,150,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1977-10-31,1977-09-30,0.7170282124717177,1,1.0,1976-11-30,150,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1977-11-30,1977-10-31,0.7622415813768707,1,1.0,1976-11-30,150,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1977-12-31,1977-11-30,0.6753716281554596,1,0.0,1976-11-30,150,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-01-31,1977-12-31,0.6182550831777947,1,1.0,1977-11-30,162,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-02-28,1978-01-31,0.7531271857937913,1,1.0,1977-11-30,162,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-03-31,1978-02-28,0.6542732184650847,1,1.0,1977-11-30,162,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-04-30,1978-03-31,0.6396981219965677,1,0.0,1977-11-30,162,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-05-31,1978-04-30,0.4874062799120417,-1,0.0,1977-11-30,162,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-06-30,1978-05-31,0.6074802508615504,1,1.0,1977-11-30,162,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-07-31,1978-06-30,0.6771034361190401,1,0.0,1977-11-30,162,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-08-31,1978-07-31,0.5704814731581447,1,0.0,1977-11-30,162,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-09-30,1978-08-31,0.5658974821674293,1,1.0,1977-11-30,162,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-10-31,1978-09-30,0.6629884226585442,1,1.0,1977-11-30,162,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-11-30,1978-10-31,0.6368769397570836,1,0.0,1977-11-30,162,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1978-12-31,1978-11-30,0.48287289196713,-1,0.0,1977-11-30,162,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-01-31,1978-12-31,0.49124227094292866,-1,1.0,1978-11-30,174,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-02-28,1979-01-31,0.6662249566957802,1,1.0,1978-11-30,174,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-03-31,1979-02-28,0.6021092927489173,1,0.0,1978-11-30,174,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-04-30,1979-03-31,0.4756334887444161,-1,1.0,1978-11-30,174,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-05-31,1979-04-30,0.612061378810601,1,1.0,1978-11-30,174,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-06-30,1979-05-31,0.6323391296260635,1,1.0,1978-11-30,174,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-07-31,1979-06-30,0.6001686742919429,1,1.0,1978-11-30,174,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-08-31,1979-07-31,0.6311919887299542,1,0.0,1978-11-30,174,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-09-30,1979-08-31,0.528028769228323,1,0.0,1978-11-30,174,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-10-31,1979-09-30,0.5551083651928284,1,0.0,1978-11-30,174,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-11-30,1979-10-31,0.4892826571389174,-1,0.0,1978-11-30,174,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1979-12-31,1979-11-30,0.43412667281242806,-1,0.0,1978-11-30,174,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-01-31,1979-12-31,0.499884957807687,-1,1.0,1979-11-30,186,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-02-29,1980-01-31,0.6734338656329486,1,1.0,1979-11-30,186,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-03-31,1980-02-29,0.5585300516050457,1,0.0,1979-11-30,186,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-04-30,1980-03-31,0.45534028339433924,-1,1.0,1979-11-30,186,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-05-31,1980-04-30,0.5552001711545287,1,1.0,1979-11-30,186,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-06-30,1980-05-31,0.5057815539806896,1,0.0,1979-11-30,186,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-07-31,1980-06-30,0.46612067203361746,-1,0.0,1979-11-30,186,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-08-31,1980-07-31,0.31458784459464817,-1,0.0,1979-11-30,186,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-09-30,1980-08-31,0.5466297897489645,1,0.0,1979-11-30,186,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-10-31,1980-09-30,0.4860143027850949,-1,0.0,1979-11-30,186,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-11-30,1980-10-31,0.5079883304240292,1,0.0,1979-11-30,186,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1980-12-31,1980-11-30,0.33895841128189924,-1,1.0,1979-11-30,186,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-01-31,1980-12-31,0.7368340215340448,1,1.0,1980-11-30,198,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-02-28,1981-01-31,0.8330892792676631,1,1.0,1980-11-30,198,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-03-31,1981-02-28,0.45518912525857996,-1,1.0,1980-11-30,198,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-04-30,1981-03-31,0.42116144022051477,-1,1.0,1980-11-30,198,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-05-31,1981-04-30,0.5849189014299953,1,0.0,1980-11-30,198,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
