stream_id,detector,escenario,delta_sigma,delta_sharpe,arl1_meses,arl1_ic_low,arl1_ic_high,n_streams,n_censurados,n_excluidos_pre_tau,n_series,direccion,umbral,arl0_calibra,arl0_ruido_inyeccion,config_hash,commit,hash_datos,generado_en
factor_hml_sharpe,CUSUM,deriva,0.5,2.856175751655823,32.41144114411441,31.018854667887116,33.80402762034171,909,0,91,1000,A->B,4.203125,112.966,190.874,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,deriva,0.5,2.856175751655823,30.35187165775401,29.257479625409786,31.446263690098235,935,0,65,1000,A->B,6.7109375,117.803,214.369,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,deriva,0.5,2.856175751655823,16.013333333333332,14.971973386752902,17.05469327991376,450,0,550,1000,A->B,2.1543272058014615,107.531,30.946,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,deriva,1.0,5.712351503311646,18.554455445544555,18.057978293970482,19.050932597118628,909,0,91,1000,A->B,4.203125,112.966,190.874,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,deriva,1.0,5.712351503311646,18.397860962566845,17.96204004843987,18.83368187669382,935,0,65,1000,A->B,6.7109375,117.803,214.369,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,deriva,1.0,5.712351503311646,12.293333333333333,11.560587337694178,13.026079328972488,450,0,550,1000,A->B,2.1543272058014615,107.531,30.946,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,deriva,2.0,11.424703006623291,12.233223322332233,11.988849909066774,12.477596735597691,909,0,91,1000,A->B,4.203125,112.966,190.874,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,deriva,2.0,11.424703006623291,12.635294117647058,12.40299928216226,12.867588953131857,935,0,65,1000,A->B,6.7109375,117.803,214.369,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,deriva,2.0,11.424703006623291,9.302222222222222,8.839096955009383,9.76534748943506,450,0,550,1000,A->B,2.1543272058014615,107.531,30.946,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,salto,0.15,0.8568527254967468,34.013888888888886,31.59512994645638,36.43264783132139,720,0,280,1000,B->A,3.21542703313753,128.129,67.275,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,salto,0.15,0.8568527254967468,37.11910994764398,34.58322356781101,39.654996327476944,764,0,236,1000,B->A,5.158203125,118.628,72.218,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,salto,0.15,0.8568527254967468,119.75660160734787,114.63659282638926,124.87661038830649,871,233,129,1000,B->A,2.334874306524429,78.106,162.049,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,salto,0.25,1.4280878758279114,26.780555555555555,24.825090276704987,28.736020834406123,720,0,280,1000,B->A,3.21542703313753,128.129,67.275,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
